movie_id,movie_name,created_at,top5pos,top5neg
11.0,Star Wars,2000.0,"Star Wars is still terrific fun and wonderfully entertaining.; Ford is hilarious, and it is still the
funniest part he has ever done.; 'Star
Wars: Special Edition' is a grand opportunity for everyone to enjoy it
all over again and for a new generation to experience a wonder which
will remain just as strong in 2077 as it does today.; It's not a perfect film, but it's a heck of a good one.; Aside from being possibly the ultimate movie experience -- emotional and
visceral -- this time, STAR WARS surprised me with how subtle a good deal
of it is, something I attribute to seeing the movie after what feels like a
whole other lifetime of experience.","Not that
it's bad; it's just not very meaningful.; To try to tell or synopsize the Star Wars story would be a waste of time.; The robots are all we have on offer for approximately 15
minutes, I even considered somebody had taped 'Lost In Space' over the top
of this copy of the video.; ( Why, oh why, couldn't Lucas
use computers to substitute better performers in the lead roles? ); What does, however, is the awful scene in which Jabba the
Hutt appears."
13.0,Forrest Gump,1983.0,"A lot of fun.; It's still 
a great film, and an opportunity to see this generation's Jimmy Stewart 
in fine form.; Gary Sinise, in one of the 
most beautifully constructed supporting roles in history, gives an 
astounding, career-making performance as Lt. Dan, one of Forrest's 
closest friends.; Hanks handles a very demanding role very
well, the script is excellent, and Wright (who obviously appreciates
the chance to show she is an actress, not just a princess) is also
excellent.; This is a tonic for the weary of heart and spirit, and
a rare gem in summer's crown.","It's good for some laughs here and there, but the laughs are only worth 
it if you have a working remote control in your hands with your thumb on 
the fast forward button so when ""JENNY"" comes on screen, you can 
fast-forward (not that Robin Wright is bad, but her character's an omen 
to whip out those Hefty-brand jumbo-size barfbags).; Many movies are about people who are unintentionally depicted as stupid,
and are therefore boring to watch.; Gump's character is none of those, and I
don't think either Zemeckis or Hanks knew whether to play Gump for
laughs or for drama.; All in all, SPEED was nothing but a cheap thrill, and quickly
forgettable.; Take out
the music and you have one dull film that would not
""inspire"" half as much as has been claimed by some
reviewers."
14.0,American Beauty,,"Highly recommended.; Highly recommended.; This is a rare and outstanding film that deserves
attention and will challenge some heady competition for a place as the
best film of the year.; Still a
strong film.; ""Beauty"" also has another
hauntingly effective score from the always refreshing Thomas Newman
that is genuinely sublime.","* - One of the worst movies ever.; You¹re boring.; On the basis of this horrible ending, I'm tempted to call the movie a 
thematic mess.; * * - Pretty bad.; As
if that wasn't enough, too, writer Alan Ball even goes one better, by having
Lester's narration be from the grave, pace Traces of Red, Carlito's Way."
16.0,Dancer in the Dark,1998.0,"This is one special
film and in some ways fantastic.; Fallon is also terrific, having a similar effect 
as Stormare, syphoning our emotions as witness to Selma's fate.; His answers are mindful and often
times sown with a subtle, dry, biting humor easily missed, unspoiled by his
poker face.; David Morse also turns in a
fine understated performance.; It's Stormare who takes
up the arc of slowly discovering the buildup of tragedy which engulfs Selma
and it's a terrific performance.","It was the only
thing in the film that seemed to be innovative and chancy, as for once
the director stopped exploiting the poor dumb woman for a brief respite,
before carrying on with making her into a martyr.; (pause) I thought it'd be potentially something awful.; (pause) Actually I was really disappointed.; Thus, many of the scenes look
choppy as if you were looking at a home movie.; Because apparently people don't concentrate because there's
nothing for the eye, only for the ear, and I was like ""Uhhggg."""
28.0,Apocalypse Now,1999.0,"It's an incredible film and a
classic, but it's not quite perfect.; Highly recommended.; But
still it is an amazing achievement worth many viewings.; Duvall's portrayal as Lieutenant Colonel Kilgore is terrific, and, he
provides a number of memorable quotes.; The scenes are bold, inventive, and powerful, and 
the acting is stunning, especially be Sheen, Duvall, and Fishburne.","The dialogue is 
confusing, the lighting is atrocious, and the scene drags on for 10 
terrible minutes of film.; The scenes are poorly done, the dialogue is muffled, and the whole mess 
is utterly confusing beyond all belief.; Perhaps it would have been more fitting if Marlon
Brando's final words were ""what a mess"" rather than
""the horror"".; It doesn't make too much sense.; The entire journey is supposed to 
be a prelude for a stunning entrance of this god-like Kurtz, but the 
scenes fall way short of expectations."
63.0,Twelve Monkeys,,"Brad Pitt gives a deliciously over-the-top 
performance that, while derivative of Jack Nicholson's more memorable 
roles, is nevertheless enjoyable -- enjoyable, but not superlative.; It's a chilling, 
almost gothic, sequence that perfectly establishes the film's dark mood.; an
*excellent* example.; Twelve Monkeys is a fine film and I recommend it highly to anyone who 
comes close to the Perfect Person profile above.; As scrutinized as he can be, Pitt is an
excellent actor who caters to a variety of characters.","Bruce Willis is a disappointment as always (if only someone 
can wipe the smirk of his face).; The movie his fans call his 'masterpeice',
""BRAZIL"" I think is a boring mess.; Maybe if the director had chosen some other actors or if the 
characters in the movie were not so caricatured it would be little 
better than pass.; While script, settings, and production design are obvious strengths 
of TWELVE MONKEYS, acting is not.; Living underground to escape the deadly surface air, science has
somehow progressed to make time travel a possibility, just not a very
accurate one."
66.0,Absolute Power,2000.0,"He's as good of a
director as he always was, and that alone makes the film enjoyable.; What a great and
original plot!; The next year he followed that up by directing the equally
excellent ""A Perfect World"".; What makes Eastwood so good is not only his diversity in
subject matter from 'Play Misty for Me' (1971) to 'Unforgiven' (1992) but his
uncanny ability to take films with relatively long scenes and stretch them
into the most absorbing films made anywhere by anyone.; To boot, Clint Eastwood and Gene Hackman do a great job acting their
respective roles.","Not only is the plot
unbelievable and contrived, but even the writing itself lacks any
consistency or intelligence.; Embarrassingly bad as the President, Hackman wastes his
great talent on a poorly written character.; Harris' character
was a pathetic single cop, with a likeness for Whitney's daughter, Kate
(Laura Linney, Congo).; Besides the ridiculousness of the plot, some of the acting is
terrible.; Unfortunately, the premise does not live up to its potential."
71.0,Billy Elliot,1994.0,"A memorable soundtrack adds luster to
this little gem of a movie.; Finally, a bloody good 
film about the human soul and the triumph of the human spirit!; Finally, a bloody good 
film about the human soul and the triumph of the human spirit!; As his
father, Gary Lewis is tough-yet-tender, and Julie Walters scores as
Billy's crusty yet compassionate teacher.; Young Billy has a natural desire to dance and, with the help of
the obligatory muse Mrs. Wilkinson (Julie Walters, ""Educating Rita""), overcomes
every obstacle - principally the prejudice his father has toward dancers, who
must be poofters.","It's just not cool to be the
FGMOTY anymore, and the films that try to shoot for FGMOTY status
usually fail miserably by cramming schmaltz down your throat (i.e., Pay
It Forward).; Billy actually takes up boxing but lacks the drive and the 
attitude.; Billy actually takes up boxing but lacks the drive and the 
attitude.; For instance; the typical
and unsurprising shots at sexual discovery, the completely pointless
presence of a cross-dressing, gay schoolyard buddy as a pretense for God
knows what--it just comes off cheap and stupid--and a happy-go-lucky
ending that made everyone in the audience (except for two fat ladies
directly in front of me) want to regurgitate their popcorn and Kit Kats.; Debut screenwriter Lee Hall has thrown this film against the backdrop of
the 1984 English miners' strike, adding richness to the otherwise banal
family drama."
73.0,American History X,1999.0,"CRITIQUE:
Intense, powerful, stylish directorial debut from British director Tony
Kaye, pulls together all aspects of dramatic achievement, including a
solid and emotional story line, an original film style and solid
performances by its cast, most specifically, the genuinely flawless
portrayal by Edward Norton.; This harsh, beautifully crafted film is actually upsetting to watch,
it is so intense.; Norton delivers a blistering, volatile, and intelligent performance
that explores his contradictions, and builds upon his superb credits
in Primal Fear and The People Vs Larry Flynt.; Yet X displays its history of skinheads
in a powerful, haunting tale of hate vs. love.; Many of the actors in the supporting cast are excellent as well.","Even Derek's descent into skinhead-dom doesn't seem justified.; While ""American History X"" depicts an over-crowded America replete
with exploiting free-loading border-jumpers and unemployed blacks, it
fails to bring the real problem into focus.; Even more unnecessary is the contrived
device in which Danny is forced to write a history paper on Derek's road
to ruin, leading to a resolution that feels disappointingly pat.; A script
going in a different direction from Derek's transformation would have
helped solve this problem.; The first 20 to 30 minutes were
aggravated slightly by some stiff dialogue and sticky acting."
75.0,Mars Attacks!,1988.0,"is
brilliant.; Jack
Nicholson acts for perhaps the first time in years, putting in a
surprisingly complex portrayal of the President.; They are is a great score by Danny Elfman, and lots of laughs.; ""It is an awesome sight.; Combine that with some
ingenious computerized special effects and the cultural lessons of all
those tacky flying saucer movies of the 1950's and 'Mars Attacks' delivers
some surprisingly inventive gags and justice is done to the characters in
the picture that you'll love to hate.","There are too many characters, too little 
story, and too much unfunny and repetitious material.; And when it doesn't work,
it's just dull.; The movie just
plain looks bad -- too bad to be taken seriously, but not bad enough to
look bad on purpose.; Eventually the film
is doing anything it can to milk laughs from the material in the worst
traditions of THE CANNONBALL RUN.; I was very disappointed when Michael J."
